airport,lat,lon
KEWN,35.07300186,-77.04290009
KEWR,40.69250107,-74.16870117
KEXX,35.78110123,-80.30380249
KEYE,39.83069992,-86.29440308
KEYF,34.60179901,-78.57929993
KEYQ,29.9352,-95.639603
KEYW,24.55610085,-81.75959778
KEZF,38.26679993,-77.44920349
KEZI,41.2052002,-89.96389771
KEZM,32.21419907,-83.12799835
KEZS,44.78699875,-88.55899811
KEZZ,39.7276001,-94.27639771
KF00,33.6128,-96.179298
KF01,34.277101,-99.7593
KF02,45.725444,-107.613551
KF05,34.22570038,-99.28379822
KF06,34.844033,-100.192838
KF08,35.298043,-95.627378
KF10,35.4068985,-96.01580048
KF14,33.947701,-98.616699
KF17,31.8316,-94.156403
KF21,34.73960114,-100.5299988
KF22,36.38560104,-97.27719879
KF24,32.646,-93.298103
KF29,35.48809814,-97.82360077
KF30,34.5245018,-96.98970032
KF31,33.99100113,-96.64279938
KF32,34.2492981,-97.47389984
KF34,36.86000061,-120.4639969
KF35,32.9231987,-98.43640137
KF36,35.29759979,-98.9673996
KF37,33.64889908,-105.8960037
KF41,32.32970047,-96.66390228
